RefundID,Date,GameTitle,Genre,PlatformStorefront,Region,PurchasePriceGBP,HoursPlayed,RefundRequested,RefundReason,ComplaintCategory,Escalated,EscalationTier,ResolutionStatus,ResolutionDays,SupportNotes
RF-500001,2026-05-10,TownLife,Life Simulation,Xbox Store,US,0.00,18.2,TRUE,"Expansion compatibility","Expansion / support",FALSE,"Storefront auto-approved","Chargeback risk",1,"Standard storefront review for expansion compatibility"
RF-500002,2026-03-12,Chronicle Vale,RPG Adventure,PlayStation Store,US,59.99,2.9,FALSE,"Controller accessibility issue","Controller / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500003,2026-03-06,Apex Circuit,Racing,Steam,JP,59.99,7.8,FALSE,"Wheel support issue","Wheel / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500004,2026-05-20,LifeSpace,Life Simulation,Steam,CA,49.99,19.9,TRUE,"NPC AI failure","NPC / support",FALSE,"Storefront auto-approved","Denied",2,"Standard storefront review for npc ai failure"
RF-500005,2026-01-11,Club Director Pro,Strategy Management,Steam,BR,39.99,7.7,FALSE,"Localization error","Localization / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500006,2026-04-30,Chronicle Vale,RPG Adventure,Xbox Store,BR,59.99,1.2,TRUE,"Quest blocker","Quest / support",FALSE,"Storefront auto-approved","Approved",5,"Standard storefront review for quest blocker"
RF-500007,2026-05-06,Apex Circuit,Racing,Epic Store,UK,59.99,17.5,FALSE,"Career mode repetition","Career / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500008,2026-03-26,Hearthwild,Survival Crafting,Epic Store,BR,34.99,0.2,FALSE,"Co-op connection failure","Co-op / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500009,2025-10-10,Streetline Skate,Skateboarding,Xbox Store,AU,39.99,6.5,FALSE,"Performance on older console","Performance / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500010,2026-05-08,LifeSpace,Life Simulation,PlayStation Store,CA,49.99,12.9,FALSE,"NPC AI failure","NPC / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500011,2025-11-22,TownLife,Life Simulation,Steam,JP,0.00,7.4,TRUE,"Expansion compatibility","Expansion / support",FALSE,"Storefront auto-approved","Denied",2,"Standard storefront review for expansion compatibility"
